"Id","IsDeleted","Name","nFORCE__Screen_Section__c","nFORCE__Display_Order__c","nFORCE__Field_Set_Key__c","nFORCE__Layout__c","nFORCE__Parent_Configuration__c","nFORCE__Parent_Relationship_Name__c","nFORCE__Section_Header__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","nFORCE__Filter_Criteria__c","nFORCE__Limit__c","nFORCE__Offset_By_Limit__c","nFORCE__Sort_Criteria__c","nFORCE__Unique__c"
"a2Hbn000000QK6NEAW","","SC-000000927","a2Fbn000000C3cpEAC","0.0","LLC_BI__UI_Loan_Summary","","","","Loan Details","1119","LLC_BI__Loan__c","","","false","","false"
"a2Hbn000000QK6OEAW","","SC-000000928","a2Fbn000000C3cwEAC","0.0","LLC_BI__UI_CRA_Loan_Information","","","","Loan Information","1120","LLC_BI__Loan__c","","","false","","false"
"a2Hbn000000QK6PEAW","","SC-000000929","a2Fbn000000C3bzEAC","0.0","LLC_BI__UI_CRA_Action_Taken","","","","Action Taken","1121","LLC_BI__Loan__c","","","false","","false"
"a2Hbn000000QK6QEAW","","SC-000000930","a2Fbn000000C3dYEAS","0.0","LLC_BI__UI_CRA_Property_Location","","","","Property Location","1122","LLC_BI__Loan__c","","","false","","false"
"a2Hbn000000QK6REAW","","SC-000000931","a2Fbn000000C3dDEAS","0.0","LLC_BI__UI_CRA_Other","","","","Other","1123","LLC_BI__Loan__c","","","false","","false"
"a2Hbn000000QK6SEAW","","SC-000000932","a2Fbn000000C3c5EAC","0.0","LLC_BI__UI_HMDA_Application_Loan_Information","","","","Application or Loan Information","1124","LLC_BI__Loan__c","","","false","","false"
"a2Hbn000000QK6TEAW","","SC-000000933","a2Fbn000000C3bxEAC","0.0","LLC_BI__UI_HMDA_Action_Taken","","","","Action Taken","1125","LLC_BI__Loan__c","","","false","","false"
"a2Hbn000000QK6UEAW","","SC-000000934","a2Fbn000000C3dWEAS","0.0","LLC_BI__UI_HMDA_Property_Location","","","","Property Location","1126","LLC_BI__Loan__c","","","false","","false"
"a2Hbn000000QK6VEAW","","SC-000000935","a2Fbn000000C3cyEAC","0.0","LLC_BI__UI_HMDA_Loan_Lifecycle","","","","Loan Lifecycle","1127","LLC_BI__Loan__c","","","false","","false"
"a2Hbn000000QK6WEAW","","SC-000000936","a2Fbn000000C3dTEAS","1.01","","","","","","1128","Account","","","false","","false"
"a2Hbn000000QK6XEAW","","SC-000000937","a2Fbn000000C3dTEAS","2.01","LLC_BI__ReviewDisplay","","a2Hbn000000QK6WEAW","LLC_BI__Product_Packages__r","","1129","LLC_BI__Product_Package__c","","","false","","false"
"a2Hbn000000QK6YEAW","","SC-000000938","a2Fbn000000C3d4EAC","1.01","","","","","","1130","LLC_BI__Loan__c","","","false","","false"
"a2Hbn000000QK6ZEAW","","SC-000000939","a2Fbn000000C3d4EAC","2.01","UI_Loan_Loan_Team_Members","","a2Hbn000000QK6YEAW","LLC_BI__Loan_Teams__r","","1131","LLC_BI__LoanTeam__c","","","false","","false"
"a2Hbn000000QK6aEAG","","SC-000000940","a2Fbn000000C3dJEAS","1.01","","","","","","1132","LLC_BI__Loan__c","","","false","","false"
"a2Hbn000000QK6bEAG","","SC-000000941","a2Fbn000000C3dJEAS","2.01","CM_Participations","","a2Hbn000000QK6aEAG","LLC_BI__Participations__r","","1133","LLC_BI__Participation__c","","","false","","false"
"a2Hbn000000QKJCEA4","","SC-000011539","a2Fbn000000C3izEAC","1.01","LLC_BI__Enhanced_Fee_Loan_Aggregate_Summary","","","","","11331619447516046","LLC_BI__Fee_Loan_Aggregate__c","","","false","","false"
"a2Hbn000000QK6cEAG","","SC-000000942","a2Fbn000000C3dhEAC","1.01","","","","","","1134","LLC_BI__Loan__c","","","false","","false"
"a2Hbn000000QK6dEAG","","SC-000000943","a2Fbn000000C3dhEAC","2.01","UI_Risk_Rating","","a2Hbn000000QK6cEAG","LLC_BI__Risk_Rating_Review__r","","1135","LLC_BI__Annual_Review__c","","","false","","false"
"a2Hbn000000QK6eEAG","","SC-000000944","a2Fbn000000C3cWEAS","1.01","LLC_BI__Construction","","","","","1136","LLC_BI__Loan__c","","","false","","false"
"a2Hbn000000QK6hEAG","","SC-000000947","a2Fbn000000C3c2EAC","1.01","","","","","","1139","LLC_BI__Loan__c","","","false","","false"
"a2Hbn000000QK6iEAG","","SC-000000948","a2Fbn000000C3c2EAC","2.01","UI_Loan_Adverse_Action","","a2Hbn000000QK6hEAG","LLC_BI__Adverse_Actions__r","","1140","LLC_BI__Adverse_Action__c","","","false","","false"
"a2Hbn000000QK6lEAG","","SC-000000951","a2Fbn000000C3d6EAC","1.01","","","","","","1143","LLC_BI__Loan__c","","","false","","false"
"a2Hbn000000QK6mEAG","","SC-000000952","a2Fbn000000C3d6EAC","2.01","UI_Loan_Memo","","a2Hbn000000QK6lEAG","LLC_BI__Change_Memos__r","","1144","LLC_BI__Credit_Memo_Modifcation__c","","","false","","false"
"a2Hbn000000QK6nEAG","","SC-000000953","a2Fbn000000C3cgEAC","1.01","","","","","","1145","LLC_BI__Loan__c","","","false","","false"
"a2Hbn000000QK6oEAG","","SC-000000954","a2Fbn000000C3cgEAC","2.01","UI_Loan_Fees","","a2Hbn000000QK6nEAG","LLC_BI__Fees__r","","1146","LLC_BI__Fee__c","","","false","","false"
"a2Hbn000000QK6pEAG","","SC-000000955","a2Fbn000000C3drEAC","1.01","","","","","","1147","LLC_BI__Loan__c","","","false","","false"
"a2Hbn000000QK6qEAG","","SC-000000956","a2Fbn000000C3drEAC","2.01","UI_Stage_History","","a2Hbn000000QK6pEAG","LLC_BI__Opportunity_History__r","","1148","LLC_BI__Opportunity_History__c","","","false","","false"
"a2Hbn000000QK6rEAG","","SC-000000957","a2Fbn000000C3d7EAC","1.01","UI_Loan_Narrative","","","","","1149","LLC_BI__Loan__c","","","false","","false"
"a2Hbn000000QK7NEAW","","SC-000000989","a2Fbn000000C3c1EAC","1.01","","","","","","1181","Account","","","false","","false"
"a2Hbn000000QK7OEAW","","SC-000000990","a2Fbn000000C3c1EAC","2.01","LLC_BI__UI_Tasks","","a2Hbn000000QK7NEAW","Tasks","","1182","Task","","","false","","false"
"a2Hbn000000QK2FEAW","","SC-000011382","a2Fbn000000C3YIEA0","1.01","LLC_BI__Prod_Pkg_UI_Related_Pledge_Schedule","","","","","11921563816286757","LLC_BI__Loan_Collateral2__c","","","false","","false"
"a2Hbn000000QKMDEA4","","SC-000011812","a2Fbn000000C3lOEAS","1.01","LLC_BI__Deal_Management_Loan_Tree_Grid","","","","","123134134","LLC_BI__Loan__c","[{""filterKey"":""LLC_BI__Stage__c"",""operator"":""="",""value"":[""Processing"",""Doc Prep"",""Closing"",""Boarding""],""isLocked"":false}]","","false","","false"
"a2Hbn000000QKMBEA4","","SC-000011810","a2Fbn000000C3lGEAS","1.01","Booked_DMW","","","","","12314124124","LLC_BI__Loan__c","","","false","","false"
"a2Hbn000000S6x0EAC","","SC-000011953","a2Fbn000000CzGhEAK","0.0","LLC_BI__Add_Income","","","","Add Income","12345678901234","LLC_BI_Income__c","","","false","","false"
"a2Hbn000000QKLDEA4","","SC-000011740","a2Fbn000000C3jmEAC","3.02","LLC_BI__UI_Authorized_Signer_Fieldset","a2Cbn000002VbCUEA0","a2Hbn000000QKKtEAO","LLC_BI__Contingent_Liabilties__r","","12611620937672789","LLC_BI__Contingent_Liabilty__c","","0.0","false","","false"
"a2Hbn000000Th8YEAS","","SC-000012206","a2Fbn000000DvQXEA0","1.01","OA_Mailing_Address_Fields","","","","","127598125981251","Contact","","","false","","false"
"a2Hbn000000QKJKEA4","","SC-000011547","a2Fbn000000C3j6EAC","1.01","RequiredLoanFieldsToCreateRateOrPayment","a2Cbn000002VbBmEAK","","","","12931619447516049","LLC_BI__Loan__c","","0.0","false","","false"
"a2Hbn000000Th8ZEAS","","SC-000012207","a2Fbn000000DvQYEA0","1.01","OA_Primary_ID_Details","a2Cbn000002tMrfEAE","","","","12985y198252198","Contact","","0.0","false","","false"
"a2Hbn000000QKKhEAO","","SC-000011691","a2Fbn000000C3jWEAS","2.0","LLC_BI__UI_HMDA_Demographic_Questions","","a2Hbn000000QKJTEA4","LLC_BI__Legal_Entities__r","HMDA","13451619447516054","LLC_BI__Legal_Entities__c","","","false","","false"
"a2Hbn000000S6wyEAC","","SC-000011951","a2Fbn000000CzGYEA0","3.01","LLC_BI__UI_HMDA_Entity_Compliance_2018","","a2Hbn000000S6wLEAS","LLC_BI__Entity_Compliances__r","Entity Compliance","14191663700626425","LLC_BI__Entity_Compliance__c","","","false","","false"
"a2Hbn000000QKL0EAO","","SC-000011727","a2Fbn000000C3k2EAC","2.02","UI_Participations","a2Cbn000002VbCOEA0","a2Hbn000000QKKCEA4","LLC_BI__Participations__r","","14251620937672797","LLC_BI__Participation__c","","0.0","false","","false"
"a2Hbn000000QK1aEAG","","SC-000011341","a2Fbn000000C3XXEA0","2.01","LLC_BI__UI_Loan_Products","","a2Hbn000000QK1ZEAW","LLC_BI__Legal_Entities__r","","14431562008947621","LLC_BI__Legal_Entities__c","","","false","","false"
"a2Hbn000000QKKBEA4","","SC-000011636","a2Fbn000000C3k1EAC","1.01","UI_Loan_Details","a2Cbn000002VbC5EAK","","","","15121620937672796","LLC_BI__Loan__c","","","false","","false"
"a2Hbn000000QKKvEAO","","SC-000011723","a2Fbn000000C3jwEAC","2.0","LLC_BI__UI_Memo_Action","","a2Hbn000000QKK6EAO","LLC_BI__Change_Memos__r","Change Memo","15761620937672794","LLC_BI__Credit_Memo_Modifcation__c","","","false","","false"
"a2Hbn000000Th8jEAC","","SC-000012217","a2Fbn000000C3gAEAS","1.01","","a2Cbn000002tMuSEAU","","","","159896624004440362141","LLC_BI__Deposit__c","","0.0","false","","false"
"a2Hbn000000QKKtEAO","","SC-000011704","a2Fbn000000C3jmEAC","2.02","","a2Cbn000002VbCLEA0","a2Hbn000000QKJwEAO","LLC_BI__Legal_Entities__r","","16071620937672788","LLC_BI__Legal_Entities__c","","0.0","false","","false"
"a2Hbn000000QKKSEA4","","SC-000011653","a2Fbn000000C3kJEAS","1.01","","","","","Loan Compliance","16491620937672804","LLC_BI__Loan__c","","","false","","false"
"a2Hbn000000QKK7EAO","","SC-000011632","a2Fbn000000C3jxEAC","0.0","LLC_BI__UI_Fees_Summary","","","","Fees Summary","17931620937672794","LLC_BI__Loan__c","","","false","","false"
"a2Hbn000000S6wAEAS","","SC-000011913","a2Fbn000000CzGTEA0","2.02","LLC_BI__UI_Loan_Team_Members","a2Cbn000002h3zfEAA","a2Hbn000000S6w9EAC","LLC_BI__Loan_Teams__r","","18921640791248846","LLC_BI__LoanTeam__c","","0.0","false","","false"
"a2Hbn000000QKJTEA4","","SC-000011556","a2Fbn000000C3jWEAS","1.0","","","","","HMDA","19101619447516054","LLC_BI__Loan__c","","","false","","false"
"a2Hbn000000S6w9EAC","","SC-000011912","a2Fbn000000CzGTEA0","1.01","","a2Cbn000002h3zeEAA","","","","19141640791248845","LLC_BI__Loan__c","","0.0","false","","false"
"a2Hbn000000Th8cEAC","","SC-000012210","a2Fbn000000DvQbEAK","1.01","OA_Contact_Info","a2Cbn000002tMriEAE","","","","19461598381728144","Contact","","0.0","false","","false"
"a2Hbn000000QK2MEAW","","SC-000011389","a2Fbn000000C3YOEA0","1.01","","a2Cbn000002Vb0QEAS","","","","19571567002572391","LLC_BI__Treasury_Service__c","","0.0","false","","false"
"a2Hbn000000QKKVEA4","","SC-000011656","a2Fbn000000C3kMEAS","1.01","LLC_BI__Draws_History_Summary","","","","Disbursements Summary","20011620937672805","LLC_BI__Budget__c","","","false","","false"
"a2Hbn000000QK0PEAW","","SC-000011265","a2Fbn000000C3X1EAK","2.0","IBCL_loan_UI_Memo_Action_cm","","a2Hbn000000QK0OEAW","LLC_BI__Change_Memos__r","Change Memo","20241560278867805","LLC_BI__Credit_Memo_Modifcation__c","","","false","","false"
"a2Hbn000000S6wbEAC","","SC-000011940","a2Fbn000000CzGkEAK","10.0","LLC_BI__UI_HMDA_Demographic_Questions","","a2Hbn000000S6waEAC","LLC_BI__Legal_Entities__r","","20841663700626419","LLC_BI__Legal_Entities__c","","","false","","false"
"a2Hbn000000S6w8EAC","","SC-000011911","a2Fbn000000CzGSEA0","1.01","SBL_Approver_1_Details","a2Cbn000002h3zcEAA","","","","21081640791248845","LLC_BI__Loan__c","","0.0","false","","false"
"a2Hbn000000S6wKEAS","","SC-000011923","a2Fbn000000CzGYEA0","1.01","","","","","Entity Compliance","21181663700626408","LLC_BI__Loan__c","","","false","","false"
"a2Hbn000000QK2EEAW","","SC-000011381","a2Fbn000000C3YHEA0","1.01","LLC_BI__Product_Package_Collateral_Schedule","","","","","21401563816286757","LLC_BI__Collateral__c","","","false","","false"
"a2Hbn000000QKJLEA4","","SC-000011548","a2Fbn000000C3jZEAS","1.01","","","","","Entity Compliance","21931619447516049","LLC_BI__Loan__c","","","false","","false"
"a2Hbn000000S6wxEAC","","SC-000011950","a2Fbn000000CzGsEAK","2.02","Small_Biz_Authorized_Signers","a2Cbn000002h3zxEAA","a2Hbn000000S6wzEAC","LLC_BI__Legal_Entities__r","","22431663700626424","LLC_BI__Legal_Entities__c","","0.0","false","","false"
"a2Hbn000000S6vjEAC","","SC-000011886","a2Fbn000000CzG7EAK","0.0","LLC_BI__UI_Collateral_Summary","","","","Collateral Summary","24171640791248838","LLC_BI__Loan__c","","","false","","false"
"a2Hbn000000QKKUEA4","","SC-000011655","a2Fbn000000C3kLEAS","1.01","LLC_BI__Draws_Overview_Summary","","","","Disbursements Summary","24271620937672805","LLC_BI__Budget__c","","","false","","false"
"a2Hbn000000QKKIEA4","","SC-000011643","a2Fbn000000C3k8EAC","0.0","LLC_BI__UI_CRA_Action_Taken","","","","Action Taken","24311620937672800","LLC_BI__Loan__c","","","false","","false"
"a2Hbn000000QKK5EAO","","SC-000011630","a2Fbn000000C3jvEAC","1.01","","","","","Risk Rating","25271620937672793","LLC_BI__Loan__c","","","false","","false"
"a2Hbn000000QKJUEA4","","SC-000011557","a2Fbn000000C3jUEAS","0.0","LLC_BI__UI_Loan_Summary","","","","Loan Details","25371619447516054","LLC_BI__Loan__c","","","false","","false"
"a2Hbn000000S6wzEAC","","SC-000011952","a2Fbn000000CzGsEAK","1.01","","a2Cbn000002h3zwEAA","","","","25751663700626426","LLC_BI__Loan__c","","0.0","false","","false"
"a2Hbn000000S6viEAC","","SC-000011885","a2Fbn000000CzG6EAK","10.0","nRETAIL__Other_Address","","a2Hbn000000S6vhEAC","LLC_BI__Addresses__r","","25981640791248837","LLC_BI__Address__c","","","false","","false"
"a2Hbn000000S6xGEAS","","SC-000011969","a2Fbn000000CzGzEAK","1.01","SBL_OA_Personal_Info_CIF","a2Cbn000002h402EAA","","","","26161666029078208","Contact","","0.0","false","","false"
"a2Hbn000000S6wCEAS","","SC-000011915","a2Fbn000000CzGUEA0","2.02","IBCL_UI_Loan_Counter_Offer","a2Cbn000002h3zhEAA","a2Hbn000000S6wBEAS","LLC_BI__Adverse_Actions__r","","26271640791248846","LLC_BI__Adverse_Action__c","","0.0","false","","false"
"a2Hbn000000QKLBEA4","","SC-000011738","a2Fbn000000C3j1EAC","3.02","LLC_BI__UI_Authorized_Signer_Fieldset","a2Cbn000002VbCTEA0","a2Hbn000000QKKcEAO","LLC_BI__Contingent_Liabilties__r","","26951619447516048","LLC_BI__Contingent_Liabilty__c","","0.0","false","","false"
"a2Hbn000000S6w3EAC","","SC-000011906","a2Fbn000000CzGNEA0","2.02","SBL_Credit_Auth_Joint_Intent","a2Cbn000002h3zYEAQ","a2Hbn000000S6w2EAC","LLC_BI__Legal_Entities__r","","27281640791248843","LLC_BI__Legal_Entities__c","cm_Relationship_Type__c = Individual AND LLC_BI__Borrower_Type__c != Borrower Household AND LLC_BI__Borrower_Type__c != Grantor AND LLC_BI__Borrower_Type__c != Hypothecator AND LLC_BI__Borrower_Type__c != Related Entity","0.0","false","","false"
"a2Hbn000000S6waEAC","","SC-000011939","a2Fbn000000CzGkEAK","0.0","","","","","HMDA","27351663700626419","LLC_BI__Loan__c","","","false","","false"
"a2Hbn000000S6xEEAS","","SC-000011967","a2Fbn000000CzHEEA0","1.01","NPORTAL__Beneficial_Owners_Connection_Info_OA","","","","","27851666029078204","LLC_BI__Connection__c","","","false","","false"
"a2Hbn000000QKJ9EAO","","SC-000011536","a2Fbn000000C3j5EAC","1.01","LLC_BI__UI_Related_Collateral_Pledge_Schedule","","","","","28171619447516045","LLC_BI__Loan_Collateral2__c","","","false","","false"
"a2Hbn000000S6weEAC","","SC-000011943","a2Fbn000000CzGnEAK","1.01","SBL_Exposure_Details","a2Cbn000002h3zpEAA","","","","28451663700626421","LLC_BI__Loan__c","","0.0","false","","false"
"a2Hbn000000QKKKEA4","","SC-000011645","a2Fbn000000C3kAEAS","0.0","LLC_BI__UI_CRA_Other","","","","Other","28511620937672800","LLC_BI__Loan__c","","","false","","false"
"a2Hbn000000S6wVEAS","","SC-000011934","a2Fbn000000CzGeEAK","10.0","nRetail__Third_Party_Related_List","","a2Hbn000000S6wUEAS","LLC_BI__Service_Mgmt__r","","29591663700626416","LLC_BI__Service_Mgmt__c","","","false","","false"
"a2Hbn000000QKJxEAO","","SC-000011586","a2Fbn000000C3jnEAC","1.01","","","","","Loan Relationship","30401620937672789","LLC_BI__Loan__c","","","false","","false"
"a2Hbn000000S6vnEAC","","SC-000011890","a2Fbn000000CzGAEA0","10.0","LLC_BI__Manage_Fees_List_Enhanced","","a2Hbn000000S6vmEAC","LLC_BI__Fees__r","","30921640791248839","LLC_BI__Fee__c","","","false","","false"
"a2Hbn000000ThDDEA0","","SC-000012481","a2Fbn000000DvU4EAK","10.0","","","","","","31841701790671955","LLC_BI__Deposit__c","","","false","","false"
"a2Hbn000000QKL5EAO","","SC-000011732","a2Fbn000000C3kIEAS","2.01","LLC_BI__HMDA_Entity_Relationship_Name","","a2Hbn000000QKKREA4","LLC_BI__Legal_Entities__r","Relationship","31881620937672803","LLC_BI__Legal_Entities__c","","","false","","false"
"a2Hbn000000QKKREA4","","SC-000011652","a2Fbn000000C3kIEAS","1.01","","","","","Entity Compliance","32101620937672803","LLC_BI__Loan__c","","","false","","false"
"a2Hbn000000Th8QEAS","","SC-000012198","a2Fbn000000DvQPEA0","1.01","ODAO_Beneficiary_Information","","","","","3245958756453","LLC_BI__Beneficiary__c","","","false","","false"
"a2Hbn000000QKJAEA4","","SC-000011537","a2Fbn000000C3UAEA0","1.01","","","","","","33491619447516045","LLC_BI__Loan__c","","","false","","false"
"a2Hbn000000Th8iEAC","","SC-000012216","a2Fbn000000DvQhEAK","1.01","OA_Mailing_Address_Fields","a2Cbn000002tMt3EAE","","","","34231598553324362","Contact","","0.0","false","","false"
"a2Hbn000000QKLyEAO","","SC-000011804","a2Fbn000000C3lVEAS","1.01","","","","","","3453452542342","LLC_BI__Loan__c","","","false","","false"
"a2Hbn000000QK0kEAG","","SC-000011286","a2Fbn000000C3X9EAK","0.01","nRetail__Applicant_Schedule","","","","","345765723668425656","LLC_BI__Legal_Entities__c","","","false","","false"
"a2Hbn000000QK0WEAW","","SC-000011272","a2Fbn000000C3WuEAK","2.01","LLC_BI__Income_Schedule","","","","","34661560278867807","LLC_BI__Income__c","","","false","","false"
"a2Hbn000000S6x1EAC","","SC-000011954","a2Fbn000000CzH8EAK","1.01","SBL_OA_Income","","","","","35211666029078194","LLC_BI__Income__c","","","false","","false"
"a2Hbn000000QKM4EAO","","SC-000011802","a2Fbn000000C3lTEAS","1.01","","","","","","3524532524","LLC_BI__Loan__c","","","false","","false"
"a2Hbn000000Th8WEAS","","SC-000012204","a2Fbn000000DvQVEA0","1.01","ODAO_Interest_Disposition","","","","","3526478678676534","LLC_BI__Deposit__c","","","false","","false"
"a2Hbn000000S6vzEAC","","SC-000011902","a2Fbn000000CzGLEA0","0.0","nRetail__Decision_Overview","","","","Decision_Overview","35751640791248842","LLC_BI__Loan__c","","","false","","false"
"a2Hbn000000S6xDEAS","","SC-000011966","a2Fbn000000CzHDEA0","1.01","SBL_OA_Beneficial_Ownership_Contact_Info","","","","","35951666029078203","Contact","","","false","","false"
"a2Hbn000000QKJWEA4","","SC-000011559","a2Fbn000000C3jQEAS","0.0","LLC_BI__UI_CRA_Loan_Information","","","","Loan Information","36751619447516055","LLC_BI__Loan__c","","","false","","false"
"a2Hbn000000QKKEEA4","","SC-000011639","a2Fbn000000C3k4EAC","1.01","","","","","","36751620937672797","LLC_BI__Loan__c","","","false","","false"
"a2Hbn000000QKKDEA4","","SC-000011638","a2Fbn000000C3k3EAC","0.0","LLC_BI__UI_Loan_Pricing_Information","a2Cbn000002VbC7EAK","","","Pricing","36861620937672797","LLC_BI__Loan__c","","","false","","false"
"a2Hbn000000QKKJEA4","","SC-000011644","a2Fbn000000C3k9EAC","0.0","LLC_BI__UI_CRA_Loan_Information","","","","Loan Information","37061620937672800","LLC_BI__Loan__c","","","false","","false"
"a2Hbn000000S6vvEAC","","SC-000011898","a2Fbn000000CzGHEA0","0.0","SBL_Add_Debt","","","","Add Debt","37401640791248841","LLC_BI__Debt__c","","","false","","false"
"a2Hbn000000QKKZEA4","","SC-000011660","a2Fbn000000C3kOEAS","1.01","","a2Cbn000002VbCCEA0","","","","37451620937672806","LLC_BI__Loan__c","","0.0","false","","false"
"a2Hbn000000S6vuEAC","","SC-000011897","a2Fbn000000CzGGEA0","0.0","LLC_BI__Income_Schedule","","","","Income Schedule","37551640791248841","LLC_BI__Income__c","","","false","","false"
"a2Hbn000000S6vlEAC","","SC-000011888","a2Fbn000000CzG9EAK","0.0","LLC_BI__UI_Related_Collateral_Pledge_Schedule","","","","UI Related Pledged Collateral Schedule","37671640791248838","LLC_BI__Loan_Collateral2__c","","","false","","false"
"a2Hbn000000QKKcEAO","","SC-000011686","a2Fbn000000C3j1EAC","2.02","","a2Cbn000002VbCEEA0","a2Hbn000000QKJGEA4","LLC_BI__Legal_Entities__r","","37751619447516047","LLC_BI__Legal_Entities__c","","0.0","false","","false"
"a2Hbn000000QKKNEA4","","SC-000011648","a2Fbn000000C3kEEAS","1.0","","","","","Tasks","37931620937672801","LLC_BI__Loan__c","","","false","","false"
"a2Hbn000000QKKdEAO","","SC-000011687","a2Fbn000000C3jZEAS","2.01","LLC_BI__HMDA_Entity_Relationship_Name","","a2Hbn000000QKJLEA4","LLC_BI__Legal_Entities__r","Relationship","38581619447516049","LLC_BI__Legal_Entities__c","","","false","","false"
"a2Hbn000000QKJBEA4","","SC-000011538","a2Fbn000000C3iyEAC","1.01","LLC_BI__Add_Non_Standard_Fee","","","","","38941619447516046","LLC_BI__Fee__c","","","false","","false"
"a2Hbn000000QKJIEA4","","SC-000011545","a2Fbn000000C3jcEAC","1.01","LLC_BI__Draws_Overview_Summary","","","","Disbursements Summary","39281619447516048","LLC_BI__Budget__c","","","false","","false"
"a2Hbn000000QJrvEAG","","SC-000011685","a2Fbn000000C3UAEA0","2.02","LLC_BI__Manage_Fees_List_Enhanced","","a2Hbn000000QKJAEA4","LLC_BI__Fees__r","","39841619447516045","LLC_BI__Fee__c","LLC_BI__Status__c != Inactive","","false","","false"
"a2Hbn000000QK0SEAW","","SC-000011268","a2Fbn000000C3X4EAK","1.01","LLC_BI__UI_Collateral_Record_Schedule","","","","","39961560278867806","LLC_BI__Loan_Collateral2__c","","","false","","false"
"a2Hbn000000QKKYEA4","","SC-000011659","a2Fbn000000C3kNEAS","1.01","","a2Cbn000002VbCBEA0","","","","40021620937672806","LLC_BI__Loan__c","","0.0","false","","false"
"a2Hbn000000QKJXEA4","","SC-000011560","a2Fbn000000C3jMEAS","1.01","","","","","","40541619447516055","LLC_BI__Loan__c","","","false","","false"
"a2Hbn000000Th8REAS","","SC-000012199","a2Fbn000000DvQQEA0","1.01","ATBK__Deposit_ReviewSubmit","","","","","410D7D49_1615_4740_9C44_180E534E297A","LLC_BI__Deposit__c","","","false","","false"
"a2Hbn000000Th8UEAS","","SC-000012202","a2Fbn000000DvQTEA0","1.01","","","","","","41217C10_2E18_4B23_A633_62364618593A","LLC_BI__Deposit__c","","","false","","false"
"a2Hbn000000S6wTEAS","","SC-000011932","a2Fbn000000CzGdEAK","0.0","LLC_BI__Enhanced_Fee_Loan_Aggregate_Summary","","","","","41811663700626414","LLC_BI__Fee_Loan_Aggregate__c","","","false","","false"
"a2Hbn000000QJsiEAG","","SC-000010810","a2Fbn000000C3XkEAK","2.01","llc_bi__UI_TSM_Authorized_User_Search","","a2Hbn000000QJsdEAG","LLC_BI__Authorized_Users__r","Authorized Users","42002235136431324","LLC_BI__Authorized_User__c","","","false","","false"
"a2Hbn000000ThAKEA0","","SC-000012316","a2Fbn000000DvSDEA0","1.01","OA_Mailing_Address_Fields","a2Cbn000002tMssEAE","","","","42004196385081748","Contact","","0.0","false","","false"
"a2Hbn000000QJzfEAG","","SC-000011219","a2Fbn000000C3WAEA0","1.01","nRetail__Asset_Schedule","","","","","42005439512254291","nRetail__Asset__c","","","false","","false"
"a2Hbn000000QJtrEAG","","SC-000010737","a2Fbn000000C3UsEAK","0.0","LLC_BI__UI_CRA_Loan_Information","","","","Loan Information","42007925721569776","LLC_BI__Loan__c","","","false","","false"
"a2Hbn000000QJwJEAW","","SC-000011010","a2Fbn000000C3YpEAK","1.01","NPORTAL__SBL_Personal_SSN_Individual_Other","","","","","42011979593094619","Contact","","","false","","false"
"a2Hbn000000QJzuEAG","","SC-000011237","a2Fbn000000C3WREA0","6.01","nRetail__Underwriting_Overview","","","","","42012424012445129","LLC_BI__Loan__c","","","false","","false"
"a2Hbn000000QJtzEAG","","SC-000010745","a2Fbn000000C3UxEAK","3.01","LLC_BI__UI_HMDA_Entity_Compliance_2017","","a2Hbn000000QJtyEAG","LLC_BI__Entity_Compliances__r","Entity Compliance","42015777285398996","LLC_BI__Entity_Compliance__c","","","false","","false"
"a2Hbn000000QK2LEAW","","SC-000011388","a2Fbn000000C3YMEA0","2.0","LLC_BI__Treasury_Maint_Add_Analyzed_Account","","a2Hbn000000QK2KEAW","LLC_BI__Deposit_Service_Rel__r","","42015790928626828","LLC_BI__Analyzed_Account__c","","","false","","false"
"a2Hbn000000ThAHEA0","","SC-000012313","a2Fbn000000DvSAEA0","1.01","OA_Mobile","a2Cbn000002tMspEAE","","","","42017426485014862","Contact","","0.0","false","","false"
"a2Hbn000000ThDEEA0","","SC-000012482","a2Fbn000000DvU7EAK","1.01","nRetail__Applicant_Schedule","a2Cbn000002tMuZEAU","","","","42018994936096419","LLC_BI__Legal_Entities__c","","0.0","false","","false"
"a2Hbn000000ThATEA0","","SC-000012325","a2Fbn000000DvSNEA0","1.01","OA_Address","a2Cbn000002tMt1EAE","","","","42020354984366019","Contact","","0.0","false","","false"
"a2Hbn000000QJzrEAG","","SC-000011231","a2Fbn000000C3WLEA0","0.01","LLC_BI__Debt_Schedule","","","","","42021659853865766","LLC_BI__Debt__c","","","false","","false"
"a2Hbn000000QJw9EAG","","SC-000011000","a2Fbn000000C3YfEAK","1.01","NPORTAL__Secured_SBL_Business_Location","","","","","42021852359656836","Account","","","false","","false"
"a2Hbn000000QJzIEAW","","SC-000011196","a2Fbn000000C3VnEAK","0.01","LLC_BI__Debt_Schedule","","","","","42022918834629833","LLC_BI__Debt__c","","","false","","false"
"a2Hbn000000QKEdEAO","","SC-000001216","a2Fbn000000C3fvEAC","1.01","","","","","","42022970911522289","Account","","","false","","false"
"a2Hbn000000QJzKEAW","","SC-000011198","a2Fbn000000C3VpEAK","2.01","LLC_BI__Income_Schedule","","","","","42024749675495641","LLC_BI__Income__c","","","false","","false"
