"Id","IsDeleted","LLC_BI__Amount_Budgeted__c","LLC_BI__Budget__c","LLC_BI__Category__c","LLC_BI__Description__c","LLC_BI__Notes__c","LLC_BI__Order__c","LLC_BI__Pending_Amount__c","LLC_BI__Percent_Budgeted__c","LLC_BI__Percent_Disbursed__c","LLC_BI__Percent_Remaining_Disbursement__c","LLC_BI__Percent_of_Budget__c","LLC_BI__Remaining_Disbursement__c","LLC_BI__Template_Percent_of_Budget__c","LLC_BI__Total_Disbursed_Amount__c","LLC_BI__lookupKey__c","Name"
"a1UWD000005gD8V2AU","false","0.0","a1WWD000002V3932AC","","Fire Protection","","26.0","","","0.0","0.0","","0.0","","","42608618981829783","CLA-BD-0002038"
"a1UWD000005gD8W2AU","false","0.0","a1WWD000002V3952AC","","S & C Bond","","30.0","","","0.0","0.0","","0.0","","","42609722069178266","CLA-BD-0002039"
"a1UWD000005gD8X2AU","false","0.0","a1WWD000002V39E2AS","","CMU - Stucco","","11.0","","","0.0","0.0","","0.0","","","42610507487340650","CLA-BD-0002040"
"a1UWD000005gD8Y2AU","false","0.0","a1WWD000002V38k2AC","","Insulation","","64.0","","","0.0","0.0","0.0","0.0","","","42611982761223309","CLA-BD-0002041"
"a1UWD000005gD8Z2AU","false","0.0","a1WWD000002V3932AC","","Rough Carpentry","","9.0","","","0.0","0.0","","0.0","","","42615863740049765","CLA-BD-0002042"
"a1UWD000005gD8a2AE","false","0.0","a1WWD000002V38j2AC","","Concrete light bases","","28.0","","","0.0","0.0","0.0","0.0","","","42619683087951044","CLA-BD-0002043"
"a1UWD000005gD8b2AE","false","0.0","a1WWD000002V3942AC","","Resilient and Carpet Flooring","","20.0","","","0.0","0.0","","0.0","","","42620958039176433","CLA-BD-0002044"
"a1UWD000005gD8c2AE","false","0.0","a1WWD000002V3952AC","","Sitework","","1.0","","","0.0","0.0","","0.0","","","42621322851003010","CLA-BD-0002045"
"a1UWD000005gD8d2AE","false","0.0","a1WWD000002V38l2AC","","Fire Hydrant","","40.0","","","0.0","0.0","","0.0","","","42622227465873208","CLA-BD-0002046"
"a1UWD000005gD8e2AE","false","0.0","a1WWD000002V38m2AC","","Acoustic Tile","","67.0","","","0.0","0.0","","0.0","","","42624508960291417","CLA-BD-0002047"
"a1UWD000005gD8f2AE","false","0.0","a1WWD000002V3952AC","","Unit Masonry","","7.0","","","0.0","0.0","","0.0","","","42625695041278474","CLA-BD-0002048"
"a1UWD000005gD8g2AE","false","0.0","a1WWD000002V38j2AC","","Plumbing","","76.0","","","0.0","0.0","0.0","0.0","","","42625706685896434","CLA-BD-0002049"
"a1UWD000005gD8h2AE","false","0.0","a1WWD000002V38k2AC","","Gas to Property Line","","1.0","","","0.0","0.0","0.0","0.0","","","42626072768553893","CLA-BD-0002050"
"a1UWD000005gD8i2AE","false","0.0","a1WWD000002V38m2AC","","Cabinets / Millwork","","88.0","","","0.0","0.0","","0.0","","","42626353128838175","CLA-BD-0002051"
"a1UWD000005gD8j2AE","false","0.0","a1WWD000002V38l2AC","","Electrical Labor","","81.0","","","0.0","0.0","","0.0","","","42631617551377423","CLA-BD-0002052"
"a1UWD000005gD8k2AE","false","0.0","a1WWD000002V38n2AC","","Cabinets / Millwork","","88.0","","","0.0","0.0","0.0","0.0","","","42632781624052178","CLA-BD-0002053"
"a1UWD000005gD8l2AE","false","0.0","a1WWD000002V38o2AC","","Telephone Underground","","33.0","","","0.0","0.0","","0.0","","","42632792106961280","CLA-BD-0002054"
"a1UWD000005gD8m2AE","false","0.0","a1WWD000002V38n2AC","","Wheel stops","","42.0","","","0.0","0.0","0.0","0.0","","","42634339669795368","CLA-BD-0002055"
"a1UWD000005gD8n2AE","false","0.0","a1WWD000002V38l2AC","","Ceramic tile","","69.0","","","0.0","0.0","","0.0","","","42634814139605158","CLA-BD-0002056"
"a1UWD000005gDkw2AE","false","","a1WWD000002WF3C2AW","Financing cost","","","","0.0","","0.0","","","0.0","","0.0","42635933208938740","CLA-BD-0004421"
"a1UWD000005gD8o2AE","false","0.0","a1WWD000002V39E2AS","","O&P","","23.0","","","0.0","0.0","","0.0","","","42636481232665608","CLA-BD-0002057"
"a1UWD000005gD8p2AE","false","0.0","a1WWD000002V38o2AC","","Plumbing","","76.0","","","0.0","0.0","","0.0","","","42636780833946668","CLA-BD-0002058"
"a1UWD000005gD8q2AE","false","0.0","a1WWD000002V38j2AC","","100 ft secondary service","","84.0","","","0.0","0.0","0.0","0.0","","","42638169021003809","CLA-BD-0002059"
"a1UWD000005gD8r2AE","false","0.0","a1WWD000002V38k2AC","","Grade fill / cut","","21.0","","","0.0","0.0","0.0","0.0","","","42638746188691169","CLA-BD-0002060"
"a1UWD000005gD8s2AE","false","0.0","a1WWD000002V38n2AC","","Fire Hydrant","","40.0","","","0.0","0.0","0.0","0.0","","","42639140566329148","CLA-BD-0002061"
"a1UWD000005gD8t2AE","false","0.0","a1WWD000002V38n2AC","","Temp sidewalk","","15.0","","","0.0","0.0","0.0","0.0","","","42639835980245422","CLA-BD-0002062"
"a1UWD000005gD8u2AE","false","0.0","a1WWD000002V3942AC","","Unit Masonry","","7.0","","","0.0","0.0","","0.0","","","42642645678479732","CLA-BD-0002063"
"a1UWD000005gD8v2AE","false","0.0","a1WWD000002V39F2AS","","Ceiling","","6.0","","","0.0","0.0","","0.0","","","4264280103920152","CLA-BD-0002064"
"a1UWD000005gD8w2AE","false","0.0","a1WWD000002V38o2AC","","Fire Hydrant","","40.0","","","0.0","0.0","","0.0","","","42642947939474463","CLA-BD-0002065"
"a1UWD000005gDgf2AE","false","","a1WWD000002WF2Q2AW","Soft cost","","","","","","0.0","","","0.0","","","42646147367040377","CLA-BD-0004156"
"a1UWD000005gD8x2AE","false","0.0","a1WWD000002V38n2AC","","New sidewalk","","12.0","","","0.0","0.0","0.0","0.0","","","42647448333286074","CLA-BD-0002066"
"a1UWD000005gDgv2AE","false","","a1WWD000002WF2q2AG","Financing cost","","","","0.0","","0.0","","","0.0","","0.0","42648535862896252","CLA-BD-0004172"
"a1UWD000005gD8y2AE","false","0.0","a1WWD000002V39F2AS","","General Conditions","","22.0","","","0.0","0.0","","0.0","","","42650402289214235","CLA-BD-0002067"
"a1UWD000005gD8z2AE","false","0.0","a1WWD000002V39F2AS","","Plumbing","","3.0","","","0.0","0.0","","0.0","","","42651272663354785","CLA-BD-0002068"
"a1UWD000005gD902AE","false","0.0","a1WWD000002V38m2AC","","Corporate Decor Package Installation","","93.0","","","0.0","0.0","","0.0","","","42651329872621154","CLA-BD-0002069"
"a1UWD000005gD912AE","false","0.0","a1WWD000002V38j2AC","","Cabinets / Millwork","","88.0","","","0.0","0.0","0.0","0.0","","","42652344007621176","CLA-BD-0002070"
"a1UWD000005gD922AE","false","0.0","a1WWD000002V39F2AS","","Flooring","","5.0","","","0.0","0.0","","0.0","","","42654211310096662","CLA-BD-0002071"
"a1UWD000005gD932AE","false","0.0","a1WWD000002V38n2AC","","Offsite Demolition","","10.0","","","0.0","0.0","0.0","0.0","","","42655123407481451","CLA-BD-0002072"
"a1UWD000005gD942AE","false","0.0","a1WWD000002V38o2AC","","Power Management System","","83.0","","","0.0","0.0","","0.0","","","42655163138213961","CLA-BD-0002073"
"a1UWD000005gD952AE","false","0.0","a1WWD000002V38j2AC","","Preasure Washing","","43.0","","","0.0","0.0","0.0","0.0","","","42657440002679518","CLA-BD-0002074"
"a1UWD000005gD962AE","false","0.0","a1WWD000002V38o2AC","","Plumbing sit work","","32.0","","","0.0","0.0","","0.0","","","42658194635651154","CLA-BD-0002075"
"a1UWD000005gD972AE","false","0.0","a1WWD000002V38m2AC","","Finish Lumber & Doors","","54.0","","","0.0","0.0","","0.0","","","42659162641070782","CLA-BD-0002076"
"a1UWD000005gD982AE","false","0.0","a1WWD000002V38k2AC","","Misc.","","92.0","","","0.0","0.0","0.0","0.0","","","42659302964830145","CLA-BD-0002077"
"a1UWD000005gD992AE","false","0.0","a1WWD000002V38m2AC","","Flooring (Rubber Floor/Silica/ Res-Tek)","","90.0","","","0.0","0.0","","0.0","","","42660170386449149","CLA-BD-0002078"
"a1UWD000005gD9A2AU","false","0.0","a1WWD000002V38l2AC","","New approaches","","13.0","","","0.0","0.0","","0.0","","","42663101474468650","CLA-BD-0002079"
"a1UWD000005gD9B2AU","false","0.0","a1WWD000002V38o2AC","","Toilet Partitions","","89.0","","","0.0","0.0","","0.0","","","42665672530231973","CLA-BD-0002080"
"a1UWD000005gD9C2AU","false","0.0","a1WWD000002V38m2AC","","New sidewalk","","12.0","","","0.0","0.0","","0.0","","","42669069926170208","CLA-BD-0002081"
"a1UWD000005gD9D2AU","false","0.0","a1WWD000002V38j2AC","","TABC - Air Balance (Required)","","75.0","","","0.0","0.0","0.0","0.0","","","42671249476185544","CLA-BD-0002082"
"a1UWD000005gD9E2AU","false","0.0","a1WWD000002V38m2AC","","Masonry/Building","","52.0","","","0.0","0.0","","0.0","","","42671515751372726","CLA-BD-0002083"
"a1UWD000005gD9F2AU","false","0.0","a1WWD000002V38k2AC","","Bollard w/ Covers","","37.0","","","0.0","0.0","0.0","0.0","","","42671781518424246","CLA-BD-0002084"
"a1UWD000005gD9G2AU","false","0.0","a1WWD000002V38n2AC","","Street paving and markings","","14.0","","","0.0","0.0","0.0","0.0","","","42675445061721387","CLA-BD-0002085"
"a1UWD000005gD9H2AU","false","0.0","a1WWD000002V3932AC","","Structural Steel","","8.0","","","0.0","0.0","","0.0","","","42675575780116620","CLA-BD-0002086"
"a1UWD000005gD9I2AU","false","0.0","a1WWD000002V3942AC","","Doors/Frames/Hardware","","14.0","","","0.0","0.0","","0.0","","","42677220132964765","CLA-BD-0002087"
"a1UWD000005gD9J2AU","false","0.0","a1WWD000002V38m2AC","","Off site fire hydrant","","8.0","","","0.0","0.0","","0.0","","","42677223692590863","CLA-BD-0002088"
"a1UWD000005gD9K2AU","false","0.0","a1WWD000002V38l2AC","","Landscaping w/ Irrigation (Required)","","36.0","","","0.0","0.0","","0.0","","","42677542980799964","CLA-BD-0002089"
"a1UWD000005gD9L2AU","false","0.0","a1WWD000002V3942AC","","Cast in Place Concrete","","5.0","","","0.0","0.0","","0.0","","","42677823870627021","CLA-BD-0002090"
"a1UWD000005gD9M2AU","false","0.0","a1WWD000002V38j2AC","","Telephone Underground","","33.0","","","0.0","0.0","0.0","0.0","","","42678173592293945","CLA-BD-0002091"
"a1UWD000005gD9N2AU","false","0.0","a1WWD000002V38l2AC","","Finish Carpentry Labor","","60.0","","","0.0","0.0","","0.0","","","42681694426914343","CLA-BD-0002092"
"a1UWD000005gD9O2AU","false","0.0","a1WWD000002V38n2AC","","Concrete Foundation( Include building slab)","","51.0","","","0.0","0.0","0.0","0.0","","","42684110528665480","CLA-BD-0002093"
"a1UWD000005gD9P2AU","false","0.0","a1WWD000002V38o2AC","","Concrete paving","","34.0","","","0.0","0.0","","0.0","","","42686005043026254","CLA-BD-0002094"
"a1UWD000005gD9Q2AU","false","0.0","a1WWD000002V3942AC","","Linear Metal Ceilings","","19.0","","","0.0","0.0","","0.0","","","42686726561016197","CLA-BD-0002095"
"a1UWD000005gD9R2AU","false","0.0","a1WWD000002V38m2AC","","Concrete light bases","","28.0","","","0.0","0.0","","0.0","","","42687116135468528","CLA-BD-0002096"
"a1UWD000005gD9S2AU","false","0.0","a1WWD000002V3952AC","","Structural Steel","","8.0","","","0.0","0.0","","0.0","","","42689059522858611","CLA-BD-0002097"
"a1UWD000005gDgh2AE","false","","a1WWD000002WF2S2AW","Interest reserve","","","","","","0.0","","","0.0","","","42689834132468183","CLA-BD-0004158"
"a1UWD000005gD9T2AU","false","0.0","a1WWD000002V38k2AC","","Painting","","68.0","","","0.0","0.0","0.0","0.0","","","42692485968980203","CLA-BD-0002098"
"a1UWD000005gD9U2AU","false","0.0","a1WWD000002V38l2AC","","Metal Fab","","78.0","","","0.0","0.0","","0.0","","","42697897025318898","CLA-BD-0002099"
"a1UWD000005gD9V2AU","false","0.0","a1WWD000002V38l2AC","","New Curb & Gutter","","11.0","","","0.0","0.0","","0.0","","","42698753606073882","CLA-BD-0002100"
"a1UWD000005gD9W2AU","false","0.0","a1WWD000002V38m2AC","","Electrical Material","","82.0","","","0.0","0.0","","0.0","","","42700033471296741","CLA-BD-0002101"
"a1UWD000005gDgY2AU","false","","a1WWD000002WF1l2AG","Hard cost","","","","","","0.0","","0.0","0.0","","","42700081110449712","CLA-BD-0004149"
"a1UWD000005gD9X2AU","false","0.0","a1WWD000002V38o2AC","","Electrical Labor","","81.0","","","0.0","0.0","","0.0","","","42702395256446626","CLA-BD-0002102"
"a1UWD000005gD9Y2AU","false","0.0","a1WWD000002V3942AC","","Allowance - Mis Paving Earthwork","","32.0","","","0.0","0.0","","0.0","","","42705633390981490","CLA-BD-0002103"
"a1UWD000005gD9Z2AU","false","0.0","a1WWD000002V38l2AC","","Fire Sprinkler (if required)","","77.0","","","0.0","0.0","","0.0","","","42707143803860408","CLA-BD-0002104"
"a1UWD000005gD9a2AE","false","0.0","a1WWD000002V38m2AC","","Gas to Property Line","","1.0","","","0.0","0.0","","0.0","","","42707518422274797","CLA-BD-0002105"
"a1UWD000005gD9b2AE","false","0.0","a1WWD000002V3952AC","","Allowance - Drywall Support/Finishing","","34.0","","","0.0","0.0","","0.0","","","42708419265474916","CLA-BD-0002106"
"a1UWD000005gD9c2AE","false","0.0","a1WWD000002V38m2AC","","Survey","","18.0","","","0.0","0.0","","0.0","","","42709059929897159","CLA-BD-0002107"
"a1UWD000005gD9d2AE","false","0.0","a1WWD000002V38o2AC","","Site Lighting Material","","30.0","","","0.0","0.0","","0.0","","","42709951400384944","CLA-BD-0002108"
"a1UWD000005gD9e2AE","false","0.0","a1WWD000002V38n2AC","","Survey","","18.0","","","0.0","0.0","0.0","0.0","","","42715063826203440","CLA-BD-0002109"
"a1UWD000005gD9f2AE","false","0.0","a1WWD000002V38j2AC","","Monument sign base construction Lang to verify if applicable","","31.0","","","0.0","0.0","0.0","0.0","","","42716542934575386","CLA-BD-0002110"
"a1UWD000005gD9g2AE","false","0.0","a1WWD000002V38n2AC","","F.R.P. and marlite","","86.0","","","0.0","0.0","0.0","0.0","","","42719108399509862","CLA-BD-0002111"
"a1UWD000005gD9h2AE","false","0.0","a1WWD000002V38o2AC","","New approaches","","13.0","","","0.0","0.0","","0.0","","","42721280454363625","CLA-BD-0002112"
"a1UWD000005gD9i2AE","false","0.0","a1WWD000002V38n2AC","","Fire Extinguishers","","87.0","","","0.0","0.0","0.0","0.0","","","42721649497475817","CLA-BD-0002113"
"a1UWD000005gDl02AE","false","","a1WWD000002WF3G2AW","Land cost","","","","","","0.0","","","0.0","","","42721806866682542","CLA-BD-0004425"
"a1UWD000005gD9j2AE","false","0.0","a1WWD000002V38j2AC","","Plumbing sit work","","32.0","","","0.0","0.0","0.0","0.0","","","42722379615252063","CLA-BD-0002114"
"a1UWD000005gD9k2AE","false","0.0","a1WWD000002V38l2AC","","Wood Doors","","56.0","","","0.0","0.0","","0.0","","","42722466258805063","CLA-BD-0002115"
"a1UWD000005gD9l2AE","false","0.0","a1WWD000002V38k2AC","","Power Management System","","83.0","","","0.0","0.0","0.0","0.0","","","42722512141694029","CLA-BD-0002116"
"a1UWD000005gD9m2AE","false","0.0","a1WWD000002V38m2AC","","Drywall & Metal Studs","","66.0","","","0.0","0.0","","0.0","","","42724202134594379","CLA-BD-0002117"
"a1UWD000005gD9n2AE","false","0.0","a1WWD000002V39G2AS","","Millwork","","14.0","","","0.0","0.0","","0.0","","","42725874827067433","CLA-BD-0002118"
"a1UWD000005gD9o2AE","false","0.0","a1WWD000002V38l2AC","","Lighting Fixtures","","85.0","","","0.0","0.0","","0.0","","","42726104476460515","CLA-BD-0002119"
"a1UWD000005gD9p2AE","false","0.0","a1WWD000002V3932AC","","Change Orders","","36.0","","","0.0","0.0","","0.0","","","42727665587049337","CLA-BD-0002120"
"a1UWD000005gD9q2AE","false","0.0","a1WWD000002V38k2AC","","Storm Drain","","26.0","","","0.0","0.0","0.0","0.0","","","42728038952622267","CLA-BD-0002121"
"a1UWD000005gDgx2AE","false","","a1WWD000002WF2s2AG","Land cost","","","","","","0.0","","","0.0","","","42728214020118832","CLA-BD-0004174"
"a1UWD000005gD9r2AE","false","0.0","a1WWD000002V3942AC","","S & C Bond","","30.0","","","0.0","0.0","","0.0","","","42729225202556486","CLA-BD-0002122"
"a1UWD000005gD9s2AE","false","0.0","a1WWD000002V3932AC","","Tilt-Up Precast Concrete","","6.0","","","0.0","0.0","","0.0","","","42729334508640524","CLA-BD-0002123"
"a1UWD000005gD9t2AE","false","0.0","a1WWD000002V38k2AC","","Finish Carpentry Labor","","60.0","","","0.0","0.0","0.0","0.0","","","42729470484298065","CLA-BD-0002124"
"a1UWD000005gD9u2AE","false","0.0","a1WWD000002V38l2AC","","Off site fire hydrant","","8.0","","","0.0","0.0","","0.0","","","42731565287870165","CLA-BD-0002125"
"a1UWD000005gD9v2AE","false","0.0","a1WWD000002V38n2AC","","Sheet Metal","","63.0","","","0.0","0.0","0.0","0.0","","","42732147636264141","CLA-BD-0002126"
"a1UWD000005gD9w2AE","false","0.0","a1WWD000002V38j2AC","","Toilet Partitions","","89.0","","","0.0","0.0","0.0","0.0","","","42732258317857977","CLA-BD-0002127"
"a1UWD000005gD9x2AE","false","0.0","a1WWD000002V38m2AC","","Site Demolition","","22.0","","","0.0","0.0","","0.0","","","42732607136102219","CLA-BD-0002128"
"a1UWD000005gD9y2AE","false","0.0","a1WWD000002V38o2AC","","Structural Steel","","53.0","","","0.0","0.0","","0.0","","","42733062906856681","CLA-BD-0002129"
"a1UWD000005gDks2AE","false","","a1WWD000002WF382AG","Financing cost","","","","0.0","","0.0","","","0.0","","0.0","42733123986461371","CLA-BD-0004417"
"a1UWD000005gD9z2AE","false","0.0","a1WWD000002V3952AC","","Electrical","","28.0","","","0.0","0.0","","0.0","","","42733379171416023","CLA-BD-0002130"
"a1UWD000005gDA02AM","false","0.0","a1WWD000002V3932AC","","Hydraulic Elevators","","24.0","","","0.0","0.0","","0.0","","","42733752472748276","CLA-BD-0002131"
"a1UWD000005gDA12AM","false","0.0","a1WWD000002V39G2AS","","Mechanical","","2.0","","","0.0","0.0","","0.0","","","42734403473313298","CLA-BD-0002132"
"a1UWD000005gDA22AM","false","0.0","a1WWD000002V38m2AC","","Asphalt paving & striping","","35.0","","","0.0","0.0","","0.0","","","42736903595874178","CLA-BD-0002133"
"a1UWD000005gDA32AM","false","0.0","a1WWD000002V38l2AC","","Signage","","46.0","","","0.0","0.0","","0.0","","","42737840698928271","CLA-BD-0002134"
"a1UWD000005gDA42AM","false","0.0","a1WWD000002V3932AC","","Resilient and Carpet Flooring","","20.0","","","0.0","0.0","","0.0","","","42741352116750018","CLA-BD-0002135"
"a1UWD000005gDA52AM","false","0.0","a1WWD000002V39F2AS","","Roofing","","19.0","","","0.0","0.0","","0.0","","","42741399979275724","CLA-BD-0002136"
"a1UWD000005gDA62AM","false","0.0","a1WWD000002V3942AC","","Fire Protection","","26.0","","","0.0","0.0","","0.0","","","42743155056530558","CLA-BD-0002137"
"a1UWD000005gDA72AM","false","0.0","a1WWD000002V38j2AC","","Roofing","","59.0","","","0.0","0.0","0.0","0.0","","","42743432408773329","CLA-BD-0002138"
"a1UWD000005gDA82AM","false","0.0","a1WWD000002V38k2AC","","Corporate Decor Package Installation","","93.0","","","0.0","0.0","0.0","0.0","","","42744142891282844","CLA-BD-0002139"
"a1UWD000005gDA92AM","false","0.0","a1WWD000002V38o2AC","","Building Demolition","","48.0","","","0.0","0.0","","0.0","","","42749072416130748","CLA-BD-0002140"
"a1UWD000005gDAA2A2","false","0.0","a1WWD000002V39G2AS","","Flooring","","5.0","","","0.0","0.0","","0.0","","","42752838485734970","CLA-BD-0002141"
"a1UWD000005gDAB2A2","false","0.0","a1WWD000002V38m2AC","","Soils","","20.0","","","0.0","0.0","","0.0","","","42753274723971832","CLA-BD-0002142"
"a1UWD000005gDAC2A2","false","0.0","a1WWD000002V38m2AC","","Roofing","","59.0","","","0.0","0.0","","0.0","","","42754790924118209","CLA-BD-0002143"
"a1UWD000005gDAD2A2","false","0.0","a1WWD000002V38o2AC","","Monument sign base construction Lang to verify if applicable","","31.0","","","0.0","0.0","","0.0","","","42757056433505261","CLA-BD-0002144"
"a1UWD000005gDAE2A2","false","0.0","a1WWD000002V38k2AC","","Ceramic tile","","69.0","","","0.0","0.0","0.0","0.0","","","42757651975673884","CLA-BD-0002145"
"a1UWD000005gDAF2A2","false","0.0","a1WWD000002V39G2AS","","Lights - LED","","20.0","","","0.0","0.0","","0.0","","","42758134652290606","CLA-BD-0002146"
"a1UWD000005gDAG2A2","false","0.0","a1WWD000002V38j2AC","","Street paving and markings","","14.0","","","0.0","0.0","0.0","0.0","","","42759388635163463","CLA-BD-0002147"
"a1UWD000005gDAH2A2","false","0.0","a1WWD000002V3952AC","","Termite Control","","2.0","","","0.0","0.0","","0.0","","","42762314988923784","CLA-BD-0002148"
"a1UWD000005gDAI2A2","false","0.0","a1WWD000002V38m2AC","","Wheel stops","","42.0","","","0.0","0.0","","0.0","","","42764906906290882","CLA-BD-0002149"
"a1UWD000005gDAJ2A2","false","0.0","a1WWD000002V38j2AC","","Gas to Property Line","","1.0","","","0.0","0.0","0.0","0.0","","","4276607457744751","CLA-BD-0002150"
"a1UWD000005gDAK2A2","false","0.0","a1WWD000002V3952AC","","Hydraulic Elevators","","24.0","","","0.0","0.0","","0.0","","","42766501100072533","CLA-BD-0002151"
"a1UWD000005gDAL2A2","false","0.0","a1WWD000002V38m2AC","","Electrical Labor","","81.0","","","0.0","0.0","","0.0","","","42767437914318135","CLA-BD-0002152"
"a1UWD000005gDAM2A2","false","0.0","a1WWD000002V39E2AS","","Drywall and Framing","","7.0","","","0.0","0.0","","0.0","","","42769972314701735","CLA-BD-0002153"
"a1UWD000005gDAN2A2","false","0.0","a1WWD000002V38m2AC","","Toilet accessories","","72.0","","","0.0","0.0","","0.0","","","42771093967820751","CLA-BD-0002154"
"a1UWD000005gDAO2A2","false","0.0","a1WWD000002V38j2AC","","Rough Carpentry Material","","62.0","","","0.0","0.0","0.0","0.0","","","42772683834811407","CLA-BD-0002155"
"a1UWD000005gDAP2A2","false","0.0","a1WWD000002V38n2AC","","Storm Drain","","16.0","","","0.0","0.0","0.0","0.0","","","42774505006903390","CLA-BD-0002156"
"a1UWD000005gDAQ2A2","false","0.0","a1WWD000002V3932AC","","Finish Carpentry/Millwork","","10.0","","","0.0","0.0","","0.0","","","42775966349135705","CLA-BD-0002157"
"a1UWD000005gDAR2A2","false","0.0","a1WWD000002V38m2AC","","Lighting Fixtures","","85.0","","","0.0","0.0","","0.0","","","42776943175110013","CLA-BD-0002158"
"a1UWD000005gDAS2A2","false","0.0","a1WWD000002V39F2AS","","Millwork","","14.0","","","0.0","0.0","","0.0","","","42778679136802861","CLA-BD-0002159"
"a1UWD000005gDAT2A2","false","0.0","a1WWD000002V38m2AC","","Trash Enclosure","","24.0","","","0.0","0.0","","0.0","","","42778992974504931","CLA-BD-0002160"
"a1UWD000005gDAU2A2","false","0.0","a1WWD000002V38j2AC","","Wheel stops","","42.0","","","0.0","0.0","0.0","0.0","","","42780088951648808","CLA-BD-0002161"
"a1UWD000005gDAV2A2","false","0.0","a1WWD000002V38l2AC","","Roofing","","59.0","","","0.0","0.0","","0.0","","","42780332314646748","CLA-BD-0002162"
"a1UWD000005gDAW2A2","false","0.0","a1WWD000002V38m2AC","","Storm Drain","","16.0","","","0.0","0.0","","0.0","","","42781211073631547","CLA-BD-0002163"
"a1UWD000005gDAX2A2","false","0.0","a1WWD000002V39F2AS","","Roof Structure (Trusses, Sheeting, Labor)","","18.0","","","0.0","0.0","","0.0","","","42781412214506777","CLA-BD-0002164"
"a1UWD000005gDgr2AE","false","","a1WWD000002WF2m2AG","Financing cost","","","","0.0","","0.0","","","0.0","","0.0","42782351299847677","CLA-BD-0004168"
"a1UWD000005gDAY2A2","false","0.0","a1WWD000002V38m2AC","","Bollard w/ Covers","","37.0","","","0.0","0.0","","0.0","","","42783385511531621","CLA-BD-0002165"
"a1UWD000005gDAZ2A2","false","0.0","a1WWD000002V38l2AC","","Sewer to Property Line","","3.0","","","0.0","0.0","","0.0","","","42784070898939231","CLA-BD-0002166"
"a1UWD000005gDAa2AM","false","0.0","a1WWD000002V38n2AC","","Finish Lumber & Doors","","54.0","","","0.0","0.0","0.0","0.0","","","42785619981104765","CLA-BD-0002167"
"a1UWD000005gDAb2AM","false","0.0","a1WWD000002V38j2AC","","Glass & Glazing","","65.0","","","0.0","0.0","0.0","0.0","","","42787490982664551","CLA-BD-0002168"
"a1UWD000005gDAc2AM","false","0.0","a1WWD000002V38k2AC","","TABC - Air Balance (Required)","","75.0","","","0.0","0.0","0.0","0.0","","","42787641965614783","CLA-BD-0002169"
"a1UWD000005gDAd2AM","false","0.0","a1WWD000002V38l2AC","","Finish Hardware","","57.0","","","0.0","0.0","","0.0","","","42788207194541192","CLA-BD-0002170"
"a1UWD000005gDAe2AM","false","0.0","a1WWD000002V38k2AC","","Site Lighting Material","","30.0","","","0.0","0.0","0.0","0.0","","","42789051825133893","CLA-BD-0002171"
"a1UWD000005gDAf2AM","false","0.0","a1WWD000002V38n2AC","","Roofing","","59.0","","","0.0","0.0","0.0","0.0","","","42791341669079564","CLA-BD-0002172"
"a1UWD000005gDAg2AM","false","0.0","a1WWD000002V38j2AC","","Flooring (Rubber Floor/Silica/ Res-Tek)","","90.0","","","0.0","0.0","0.0","0.0","","","42791378700554865","CLA-BD-0002173"
"a1UWD000005gDgi2AE","false","","a1WWD000002WF2T2AW","Land cost","","","","","","0.0","","","0.0","","","42792232443244691","CLA-BD-0004159"
"a1UWD000005gDAh2AM","false","0.0","a1WWD000002V3952AC","","Plumbing","","25.0","","","0.0","0.0","","0.0","","","42796703918212883","CLA-BD-0002174"
"a1UWD000005gDAi2AM","false","0.0","a1WWD000002V3942AC","","Joint Sealers","","13.0","","","0.0","0.0","","0.0","","","42797212598992768","CLA-BD-0002175"
"a1UWD000005gDgW2AU","false","","a1WWD000002V39W2AS","","","New Notes","","","","0.0","","0.0","0.0","","","42797649368744528","CLA-BD-0004147"
"a1UWD000005gDAj2AM","false","0.0","a1WWD000002V39E2AS","","Electrical and Low Voltage","","1.0","","","0.0","0.0","","0.0","","","42799571814555585","CLA-BD-0002176"
"a1UWD000005gDAk2AM","false","0.0","a1WWD000002V38m2AC","","Telephone Pole","","7.0","","","0.0","0.0","","0.0","","","42801010824580966","CLA-BD-0002177"
"a1UWD000005gDAl2AM","false","0.0","a1WWD000002V38j2AC","","Site Lighting Material","","30.0","","","0.0","0.0","0.0","0.0","","","42802000087533360","CLA-BD-0002178"
"a1UWD000005gDAm2AM","false","0.0","a1WWD000002V38k2AC","","Retaining wall","","23.0","","","0.0","0.0","0.0","0.0","","","42802392921793737","CLA-BD-0002179"
"a1UWD000005gDAn2AM","false","0.0","a1WWD000002V38k2AC","","Roofing","","59.0","","","0.0","0.0","0.0","0.0","","","42803006745164954","CLA-BD-0002180"
"a1UWD000005gDAo2AM","false","0.0","a1WWD000002V38m2AC","","EIFS / Lath & Plaster","","70.0","","","0.0","0.0","","0.0","","","42804676531331444","CLA-BD-0002181"
"a1UWD000005gDAp2AM","false","0.0","a1WWD000002V38m2AC","","Barricades/Signs","","45.0","","","0.0","0.0","","0.0","","","42805556065127208","CLA-BD-0002182"
"a1UWD000005gDAq2AM","false","0.0","a1WWD000002V3932AC","","Painting","","21.0","","","0.0","0.0","","0.0","","","42808138737356772","CLA-BD-0002183"
